Empresa,Vaga,Modelo,Tipo,Cidade,UF,Dia_Publicação,Mes_Publicação,Ano_Publicação,Possui p/ PCD?,Link
#SejaShopper,Estágio Comercial (Exclusiva para PCD),Presencial,Efetivo,São Paulo , SP,29,08,2023,Sim,['https://shopper.gupy.io/job/eyJqb2JJZCI6NTM1Mzk0OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal']
(IFF) Instituto Fernando Filgueiras,Estágio Nível Médio,Presencial,Estágio,Salvador , BA,29,08,2023,Não,['https://vemseriff.gupy.io/job/eyJqb2JJZCI6NTM1Mzc4Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal']
#SejaShopper,Estágio Varejo (Exclusiva para PCD),Presencial,Estágio,São Paulo , SP,29,08,2023,Sim,['https://shopper.gupy.io/job/eyJqb2JJZCI6NTM1Mzg0MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal']
Trabalhe na Mills,Estágio Universitário,Presencial,Estágio,Chapecó , SC,29,08,2023,Sim,['https://mills.gupy.io/job/eyJqb2JJZCI6NTM1MzYwNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal']
Lobo de Rizzo Advogados,Pessoa Estagiária | Trabalhista,Presencial,Estágio,São Paulo , SP,29,08,2023,Não,['https://loboderizzo.gupy.io/job/eyJqb2JJZCI6NTM1MzgyNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal']
#SejaShopper,Estágio Eventos (Exclusiva para PCD),Presencial,Estágio,São Paulo , SP,29,08,2023,Sim,['https://shopper.gupy.io/job/eyJqb2JJZCI6NTM1Mzc5Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal']
#SejaShopper,Estágio/Analista Jr. de Performance (Exclusiva para PCD),Presencial,Efetivo,Osasco , SP,29,08,2023,Sim,['https://shopper.gupy.io/job/eyJqb2JJZCI6NTM1Mzc1Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal']
#SejaShopper,Estágio Operações (Exclusiva para PCD),Presencial,Estágio,São Paulo , SP,29,08,2023,Sim,['https://shopper.gupy.io/job/eyJqb2JJZCI6NTM1MzcyOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal']
Confidencial,Estágio em Marketing (Redator(a)) - São Paulo/SP ,Presencial,Estágio,São Paulo , SP,29,08,2023,Sim,['https://confidencialsigilo.gupy.io/job/eyJqb2JJZCI6NTM1MzU4OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal']
Prime Cater,Estágio em Mídia ,Presencial,Estágio,São Paulo , SP,29,08,2023,Sim,['https://primecater.gupy.io/job/eyJqb2JJZCI6NTM1MzM2MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal']
